Model,No_PCA_CV_Acc,With_PCA_CV_Acc,CV_Acc_Improvement,No_PCA_Fold1,No_PCA_Fold2,No_PCA_Fold3,No_PCA_Fold4,No_PCA_Fold5,With_PCA_Fold1,With_PCA_Fold2,With_PCA_Fold3,With_PCA_Fold4,With_PCA_Fold5,No_PCA_Var,With_PCA_Var,No_PCA_Test_Acc,With_PCA_Test_Acc,No_PCA_F1,With_PCA_F1,No_PCA_AUC,With_PCA_AUC,No_PCA_Time,With_PCA_Time,Time_Speedup_Pct
SVM,0.9758241758241759,0.9802197802197803,0.00439560439560438,0.9560439560439561,0.978021978021978,0.978021978021978,0.978021978021978,0.989010989010989,0.967032967032967,0.989010989010989,0.989010989010989,0.978021978021978,0.978021978021978,0.00011592802801593986,6.762468300929868e-05,0.9824561403508771,0.9649122807017544,0.9861111111111112,0.971830985915493,0.9937169312169313,0.9947089947089947,3.6706058979034424,5.5991127490997314,-52.53919665681907
Naive Bayes,0.9340659340659341,0.9274725274725275,-0.00659340659340657,0.9120879120879121,0.967032967032967,0.8901098901098901,0.9560439560439561,0.945054945054945,0.9010989010989011,0.945054945054945,0.9120879120879121,0.945054945054945,0.9340659340659341,0.0008211568651129104,0.00031880207704383483,0.9298245614035088,0.9210526315789473,0.9444444444444444,0.9379310344827586,0.9867724867724867,0.9708994708994709,0.21527743339538574,0.25556421279907227,-18.71388875660482
KNN,0.9714285714285715,0.9670329670329672,-0.00439560439560438,0.978021978021978,0.989010989010989,0.9560439560439561,0.9560439560439561,0.978021978021978,0.9560439560439561,0.989010989010989,0.945054945054945,0.967032967032967,0.978021978021978,0.00017389204202390972,0.00024151672503320881,0.9649122807017544,0.956140350877193,0.9726027397260274,0.9655172413793104,0.9713955026455027,0.9816468253968254,3.61531138420105,1.0267133712768555,71.60096981511457
Logistic Regression,0.9824175824175825,0.9824175824175825,0.0,0.978021978021978,0.978021978021978,0.989010989010989,0.978021978021978,0.989010989010989,0.978021978021978,0.989010989010989,0.989010989010989,0.978021978021978,0.978021978021978,2.89820070039854e-05,2.8982007003985406e-05,0.9736842105263158,0.9736842105263158,0.9793103448275862,0.9790209790209791,0.9957010582010581,0.9953703703703703,0.6835412979125977,0.40445566177368164,40.82937446372141
Decision Tree,0.9318681318681319,0.9362637362637363,0.00439560439560438,0.9010989010989011,0.945054945054945,0.9120879120879121,0.9340659340659341,0.967032967032967,0.9010989010989011,0.9340659340659341,0.9340659340659341,0.967032967032967,0.945054945054945,0.0005506581330757155,0.0004540514430624318,0.9473684210526315,0.9298245614035088,0.958904109589041,0.9444444444444444,0.9447751322751323,0.9426256613756614,1.7271082401275635,1.0726909637451172,37.890924331072114
Random Forest,0.9626373626373628,0.9604395604395604,-0.002197802197802412,0.9560439560439561,0.967032967032967,0.9340659340659341,0.967032967032967,0.989010989010989,0.9340659340659341,0.978021978021978,0.9340659340659341,0.967032967032967,0.989010989010989,0.0003188020770438354,0.000512015457070402,0.956140350877193,0.9298245614035088,0.9655172413793104,0.9444444444444444,0.9927248677248677,0.9854497354497355,42.16474676132202,27.650997638702393,34.42152565216679
AdaBoost,0.9802197802197803,0.9758241758241759,-0.00439560439560438,0.989010989010989,1.0,0.945054945054945,0.978021978021978,0.989010989010989,0.9560439560439561,1.0,0.978021978021978,0.9560439560439561,0.989010989010989,0.00035744475304914935,0.0003091414080425064,0.956140350877193,0.9473684210526315,0.9659863945578231,0.9583333333333334,0.9818121693121693,0.9837962962962963,47.117138385772705,13.83690071105957,70.63297733030896
Gradient Boosting,0.9736263736263737,0.956043956043956,-0.017582417582417742,0.978021978021978,0.989010989010989,0.9560439560439561,0.9560439560439561,0.989010989010989,0.945054945054945,0.978021978021978,0.9010989010989011,0.978021978021978,0.978021978021978,0.00022219538703055166,0.0009177635551261915,0.956140350877193,0.9473684210526315,0.9659863945578231,0.958904109589041,0.9957010582010581,0.9857804232804233,60.23047971725464,26.541667938232422,55.93316197574823
XGBoost,0.9758241758241759,0.9648351648351647,-0.010989010989011172,0.989010989010989,0.989010989010989,0.945054945054945,0.967032967032967,0.989010989010989,0.945054945054945,0.967032967032967,0.967032967032967,0.978021978021978,0.967032967032967,0.00030914140804250785,0.00011592802801594015,0.9473684210526315,0.9473684210526315,0.958904109589041,0.9583333333333334,0.9940476190476191,0.9890873015873016,9.419697999954224,5.691986083984375,39.57358204040049
Stacking,0.9692307692307693,0.9714285714285713,0.002197802197801968,0.967032967032967,0.978021978021978,0.945054945054945,0.967032967032967,0.989010989010989,0.978021978021978,0.978021978021978,0.9560439560439561,0.967032967032967,0.978021978021978,0.00021253471802922395,7.728535201062619e-05,0.9824561403508771,0.9736842105263158,0.9861111111111112,0.9790209790209791,0.9953703703703703,0.9940476190476191,2.1017661094665527,1.5873959064483643,24.4732370886283
