employee_id,age,experience_years,education,city,company_size,hours_worked_per_week,certifications,remote_work,performance_rating,salary
1,28,6,Diploma,Bangalore,4487,32,9,No,2.1,1013700
2,26,3,High School,Pune,4484,43,3,No,3.77,932400
3,21,0,Bachelor,Mumbai,1293,36,5,Yes,2.28,542600
4,27,1,Bachelor,Chennai,3783,47,1,No,2.24,730400
5,39,12,Master,Pune,589,31,10,Yes,4.32,1613000
6,26,5,Bachelor,Coimbatore,3008,35,5,No,2.63,912200
7,38,8,High School,Hyderabad,4395,53,3,Yes,3.39,1115900
8,38,14,Bachelor,Delhi,478,37,0,No,3.2,1459500
9,25,4,Master,Delhi,1761,50,7,No,4.65,1395500
10,50,18,Master,Mumbai,4808,43,9,No,3.09,2143400
11,29,3,High School,Bangalore,1272,50,2,No,3.79,810000
12,45,7,Bachelor,Chennai,958,51,8,No,4.31,1451600
13,42,15,Bachelor,Mumbai,4120,54,2,Yes,4.61,1888800
14,40,13,Diploma,Delhi,1343,47,8,Yes,3.8,1519200
15,52,25,Master,Mumbai,1981,31,3,Yes,2.26,2272200
16,52,21,Bachelor,Hyderabad,1071,51,7,Yes,2.8,1952900
17,59,20,Bachelor,Pune,2573,42,10,No,3.31,2154700
18,54,17,High School,Chennai,4839,47,3,Yes,2.02,1642500
19,24,2,Master,Bangalore,4231,37,4,No,2.64,1021400
20,29,3,Bachelor,Pune,3894,55,6,Yes,2.28,834700
21,48,14,Master,Chennai,826,31,6,No,4.4,1811100
22,27,3,Bachelor,Kochi,1523,38,7,Yes,4.62,1062800
23,25,0,Bachelor,Chennai,4448,56,0,Yes,4.78,908700
24,36,10,Diploma,Kochi,500,35,6,Yes,4.96,1402700
25,37,14,Bachelor,Coimbatore,1288,36,4,Yes,4.91,1661600
26,58,22,Bachelor,Chennai,4805,45,8,Yes,2.17,2152400
27,53,20,Bachelor,Pune,3327,33,9,Yes,3.74,2131800
28,23,0,Bachelor,Delhi,2156,36,10,No,2.72,712300
29,46,17,Bachelor,Bangalore,96,44,9,Yes,2.22,1767100
30,34,6,Bachelor,Bangalore,2021,41,4,Yes,3.31,1080800
31,55,19,PhD,Chennai,4563,39,10,Yes,4.82,2382300
32,29,4,Master,Hyderabad,2251,39,9,Yes,4.15,1319200
33,34,5,Bachelor,Mumbai,436,32,10,No,4.49,1059900
34,23,2,Bachelor,Mumbai,1343,53,7,No,3.68,964200
35,28,7,Master,Chennai,3044,48,8,Yes,3.29,1421200
36,23,0,Master,Chennai,2951,36,10,Yes,4.0,1062800
37,43,14,Bachelor,Hyderabad,1959,57,2,Yes,4.64,1653800
38,22,1,Master,Kochi,2052,38,2,Yes,3.15,896400
39,23,2,Master,Coimbatore,2884,39,3,Yes,2.07,777500
40,33,5,High School,Mumbai,2896,50,8,No,4.04,1141200
41,55,20,Master,Mumbai,1482,48,4,Yes,2.33,2029300
42,48,13,Bachelor,Bangalore,3175,58,9,Yes,2.76,1754700
43,48,23,Bachelor,Pune,3003,43,1,No,3.87,2238000
44,28,3,Bachelor,Kochi,2692,42,4,Yes,2.58,801400
45,45,11,Bachelor,Mumbai,3346,47,0,No,2.86,1276600
46,48,17,Bachelor,Coimbatore,3642,51,3,No,4.38,1912000
47,31,4,Bachelor,Delhi,785,56,3,No,2.67,887000
48,33,7,PhD,Bangalore,3750,43,10,Yes,4.16,1623300
49,45,12,Bachelor,Chennai,893,54,6,Yes,2.53,1459700
50,54,16,Master,Bangalore,3759,34,7,No,4.85,2067900
51,49,13,Bachelor,Coimbatore,1323,53,7,No,2.78,1543800
52,36,10,Master,Coimbatore,1979,38,7,Yes,4.14,1521800
53,36,8,Bachelor,Hyderabad,1255,37,6,Yes,4.12,1322300
54,25,0,Bachelor,Chennai,1714,56,6,No,4.71,955200
55,58,22,Master,Kochi,3927,30,5,No,4.26,2336800
56,47,10,Master,Pune,4019,37,4,No,3.46,1484000
57,45,12,Bachelor,Hyderabad,3848,59,2,Yes,4.72,1751000
58,58,21,Bachelor,Hyderabad,3802,35,0,No,3.14,1999600
59,34,5,Master,Mumbai,3473,38,1,No,2.06,1004500
60,55,27,Diploma,Bangalore,349,54,0,Yes,2.6,2253300
61,22,0,Bachelor,Bangalore,4640,60,3,No,4.1,882800
62,44,15,Master,Bangalore,1361,60,4,Yes,3.74,1930300
63,40,5,Bachelor,Pune,642,48,10,Yes,2.31,967200
64,40,13,Diploma,Chennai,2864,47,6,No,2.21,1397500
65,42,15,Bachelor,Kochi,2987,50,7,Yes,3.31,1789700
66,54,22,Master,Coimbatore,3828,43,9,No,2.97,2343900
67,36,9,Master,Pune,3826,48,9,No,3.01,1514900
68,52,19,Diploma,Mumbai,2808,38,9,No,3.67,1960300
69,54,21,Master,Coimbatore,4568,54,3,No,3.94,2323800
70,52,18,Bachelor,Kochi,2013,39,10,No,3.42,1993400
71,54,14,Bachelor,Delhi,3737,38,4,No,2.69,1733200
72,33,5,PhD,Hyderabad,1589,36,7,No,4.17,1438500
73,54,12,Master,Mumbai,1883,41,2,No,2.04,1357400
74,55,21,High School,Mumbai,1054,50,7,Yes,4.62,2128900
75,57,20,Bachelor,Chennai,2088,60,7,Yes,4.47,2293300
76,46,11,Bachelor,Hyderabad,1242,55,9,No,2.26,1464400
77,36,12,Bachelor,Pune,4300,42,7,No,2.89,1621600
78,58,24,Bachelor,Bangalore,1722,50,3,No,3.98,2343300
79,31,6,Diploma,Kochi,3710,52,9,No,2.87,1214800
80,35,7,Master,Bangalore,1932,59,4,Yes,3.28,1362200
81,55,20,Bachelor,Hyderabad,604,31,2,No,3.79,1951100
82,57,24,Bachelor,Mumbai,3317,60,4,No,3.31,2363300
83,59,25,Bachelor,Mumbai,231,32,3,Yes,5.0,2349200
84,38,5,Diploma,Coimbatore,2298,35,9,No,3.9,1031200
85,52,21,Bachelor,Delhi,876,57,2,No,3.23,2056300
86,52,16,Master,Chennai,3745,32,5,No,2.97,1956300
87,46,18,High School,Coimbatore,3405,31,3,No,3.87,1712600
88,52,15,Diploma,Hyderabad,2379,44,7,Yes,2.09,1484200
89,59,24,Bachelor,Chennai,4544,43,1,Yes,4.98,2338300
90,28,2,Master,Coimbatore,2410,46,4,No,4.5,1087700
91,51,18,Bachelor,Hyderabad,591,38,6,No,4.8,2050000
92,53,19,Master,Coimbatore,1237,44,8,No,3.04,2087100
93,56,21,Master,Pune,1976,48,6,Yes,4.57,2287900
94,47,20,Master,Kochi,3182,51,10,Yes,3.49,2312000
95,23,2,Bachelor,Bangalore,3626,33,8,No,2.05,894900
96,30,1,Diploma,Coimbatore,2191,40,9,No,3.95,873600
97,42,16,Bachelor,Delhi,4017,57,8,Yes,3.85,1891200
98,36,4,PhD,Bangalore,3575,33,10,Yes,3.33,1210000
99,40,12,Master,Mumbai,2956,41,6,Yes,2.73,1570400
100,47,10,Diploma,Bangalore,3153,49,10,Yes,3.49,1404300
101,58,24,Bachelor,Mumbai,96,58,7,No,4.03,2422700
102,31,10,PhD,Mumbai,3495,52,4,No,4.54,1841300
103,33,12,Diploma,Kochi,4705,41,9,No,4.98,1700800
104,39,16,Bachelor,Chennai,4656,57,10,Yes,4.73,2110700
105,52,21,Master,Pune,4993,55,5,Yes,3.91,2262400
106,60,23,Master,Hyderabad,815,58,10,Yes,2.93,2480000
107,49,19,Diploma,Mumbai,2696,53,6,Yes,2.6,1890200
108,55,22,Bachelor,Mumbai,1367,38,7,No,4.24,2212600
109,42,13,High School,Pune,3275,60,8,No,2.27,1478400
110,46,18,Bachelor,Mumbai,4808,42,10,No,2.33,1972500
111,35,4,Master,Delhi,1833,50,1,No,4.73,1193100
112,40,10,High School,Chennai,2513,45,1,Yes,2.7,1123700
113,55,22,Bachelor,Kochi,4831,53,2,No,3.96,2321100
114,52,13,Bachelor,Delhi,1799,44,7,Yes,4.57,1632800
115,27,6,Master,Delhi,516,42,4,Yes,4.9,1268100
116,50,19,Bachelor,Chennai,434,55,5,Yes,4.97,2115700
117,57,23,Bachelor,Pune,1928,40,2,Yes,2.83,2190900
118,30,9,Master,Bangalore,231,34,0,No,4.37,1309400
119,36,8,Bachelor,Hyderabad,3468,46,1,Yes,3.43,1221200
120,44,12,Bachelor,Chennai,4291,39,7,Yes,2.18,1464500
121,51,19,Diploma,Coimbatore,622,58,1,No,3.82,1832000
122,25,4,Bachelor,Delhi,3140,49,8,No,3.36,1161800
123,59,17,Diploma,Pune,3543,44,3,No,3.02,1770300
124,50,13,Bachelor,Delhi,2108,41,2,No,2.2,1471300
125,26,4,Master,Hyderabad,4577,31,9,No,4.01,1249000
126,47,12,Master,Chennai,2376,49,4,No,2.31,1606100
127,53,20,Diploma,Bangalore,2888,57,8,No,2.34,2071600
128,38,5,Master,Chennai,2210,30,2,No,4.11,1087700
129,40,13,Diploma,Hyderabad,4659,51,6,Yes,2.43,1484800
130,22,1,Bachelor,Coimbatore,2812,35,5,No,4.16,898000
131,57,16,Diploma,Chennai,688,38,7,No,3.46,1610100
132,49,15,Bachelor,Delhi,3541,33,4,No,3.58,1729400
133,40,14,Bachelor,Chennai,1694,39,3,Yes,4.29,1667600
134,39,10,Master,Hyderabad,1078,42,8,Yes,3.5,1510600
135,43,18,High School,Chennai,3786,59,1,No,3.73,1911500
136,57,18,Bachelor,Kochi,190,60,5,Yes,4.4,2025900
137,60,18,Bachelor,Kochi,887,37,6,No,3.57,1904200
138,46,18,Diploma,Hyderabad,645,46,10,Yes,3.59,1818500
139,33,9,Master,Hyderabad,1955,33,2,No,2.59,1232300
140,59,25,High School,Coimbatore,3820,54,9,No,4.04,2542300
141,57,16,Bachelor,Delhi,1256,44,1,No,3.33,1574500
142,40,12,Bachelor,Bangalore,2562,44,7,Yes,2.17,1386800
143,39,16,Master,Kochi,3810,48,8,Yes,3.35,2027100
144,57,20,Bachelor,Hyderabad,526,44,1,No,4.95,2027900
145,26,1,Diploma,Coimbatore,3619,46,8,Yes,3.09,778600
146,39,6,Bachelor,Chennai,2761,32,5,Yes,3.67,1166700
147,45,13,Bachelor,Hyderabad,2750,32,9,Yes,4.75,1813000
148,40,15,Bachelor,Bangalore,2556,47,6,No,4.44,1849900
149,54,23,Bachelor,Chennai,2990,39,2,Yes,3.03,2182200
150,52,23,Diploma,Mumbai,848,46,8,Yes,3.99,2428600
151,60,25,Diploma,Hyderabad,3605,31,6,No,4.03,2376000
152,36,13,Master,Coimbatore,1936,47,3,No,4.9,1793500
153,51,19,Bachelor,Coimbatore,3802,54,4,No,3.51,2046400
154,47,21,Master,Hyderabad,2068,31,10,No,4.62,2339600
155,56,25,Bachelor,Bangalore,2355,32,2,No,3.35,2241200
156,53,21,Master,Pune,3715,58,5,Yes,3.24,2327800
157,46,12,PhD,Delhi,1859,30,5,Yes,4.52,1774100
158,42,13,Bachelor,Coimbatore,1156,54,7,No,3.85,1664200
159,26,5,Diploma,Kochi,930,54,4,Yes,2.9,916400
160,24,2,Bachelor,Bangalore,928,56,7,Yes,3.9,1031300
161,57,21,Bachelor,Delhi,1990,48,6,Yes,3.99,2212400
162,26,0,PhD,Chennai,3218,57,7,Yes,3.91,1124300
163,44,13,Master,Delhi,1995,53,10,Yes,4.31,1897100
164,42,14,Bachelor,Hyderabad,3826,52,7,Yes,4.43,1883000
165,25,0,High School,Pune,378,55,3,Yes,2.95,403400
166,40,2,Bachelor,Mumbai,319,54,10,Yes,2.86,865500
167,24,3,Diploma,Delhi,3599,58,6,No,4.68,1056600
168,45,13,Bachelor,Delhi,4273,38,1,No,2.24,1471300
169,59,24,Bachelor,Bangalore,675,40,10,No,2.92,2291800
170,59,22,Bachelor,Coimbatore,366,53,5,No,2.82,2075600
171,24,3,Bachelor,Hyderabad,275,34,9,No,2.1,817800
172,25,2,Bachelor,Chennai,4976,34,10,No,4.85,1192500
173,44,12,Diploma,Delhi,3280,40,10,No,2.75,1492600
174,28,6,Bachelor,Bangalore,2164,54,4,No,2.64,1109100
175,60,21,Bachelor,Bangalore,1131,57,1,No,2.52,2104000
176,49,22,PhD,Delhi,2866,52,1,No,4.67,2509600
177,31,4,Bachelor,Delhi,4187,37,1,Yes,4.38,914300
178,36,9,Bachelor,Delhi,3848,55,8,Yes,3.84,1491000
179,26,5,Master,Coimbatore,4326,43,6,Yes,2.38,1150400
180,41,9,Bachelor,Delhi,1071,58,8,Yes,4.3,1441200
181,29,0,High School,Bangalore,4264,34,4,Yes,2.49,562500
182,35,4,Master,Bangalore,2072,36,10,No,2.38,1172900
183,40,10,Bachelor,Hyderabad,1422,51,9,No,4.53,1573900
184,57,27,High School,Mumbai,1746,54,9,No,3.85,2561500
185,22,0,Bachelor,Mumbai,3976,37,10,No,2.89,810100
186,25,1,Bachelor,Coimbatore,1691,40,9,Yes,2.94,772200
187,41,11,PhD,Hyderabad,3055,46,8,Yes,2.96,1626800
188,50,19,Diploma,Chennai,2397,60,6,No,2.74,1975000
189,31,8,Master,Pune,1325,45,8,No,3.5,1310100
190,40,10,Bachelor,Coimbatore,1992,36,9,No,2.15,1324400
191,39,4,Bachelor,Coimbatore,2360,47,0,Yes,3.29,917400
192,37,8,Bachelor,Kochi,439,48,8,Yes,3.09,1151400
193,39,13,Master,Mumbai,993,34,1,No,3.12,1547000
194,42,9,Diploma,Kochi,4116,31,0,Yes,2.41,1019800
195,42,13,Diploma,Hyderabad,2706,59,9,No,2.49,1524600
196,60,23,Bachelor,Coimbatore,4631,39,7,Yes,3.11,2229500
197,28,7,Master,Chennai,4909,45,4,Yes,4.16,1395700
198,58,18,Master,Kochi,1230,56,10,Yes,2.09,2010200
199,28,5,Bachelor,Kochi,1690,43,8,No,4.62,1276300
200,24,0,Bachelor,Coimbatore,4324,42,5,Yes,3.38,714400
201,55,18,Master,Mumbai,3986,36,3,No,3.67,2058300
202,35,14,Master,Pune,4025,40,7,No,3.68,1799800
203,38,9,Bachelor,Kochi,2847,60,2,No,2.13,1324500
204,26,1,Bachelor,Coimbatore,1772,36,8,No,4.8,997700
205,38,12,Bachelor,Pune,435,51,8,Yes,3.91,1635100
206,24,3,Bachelor,Hyderabad,62,60,8,Yes,3.22,969800
207,51,16,PhD,Delhi,2358,50,0,Yes,3.96,2002500
208,35,3,Master,Hyderabad,3443,58,2,Yes,4.99,1195200
209,46,15,Master,Mumbai,326,30,4,Yes,4.79,1752000
210,42,10,Bachelor,Coimbatore,1119,57,8,No,2.82,1579700
211,28,1,Bachelor,Hyderabad,135,53,5,No,3.7,871400
212,33,9,Master,Kochi,4241,40,1,No,4.01,1539600
213,32,9,Master,Chennai,2156,42,3,No,4.26,1465900
214,42,11,High School,Delhi,1955,31,10,Yes,3.4,1431900
215,31,3,Master,Mumbai,981,50,4,No,3.84,1094000
216,35,11,Bachelor,Delhi,3426,52,8,No,4.27,1653500
217,34,8,Bachelor,Bangalore,4324,44,8,No,2.23,1196800
218,57,25,Master,Pune,4711,47,2,Yes,2.98,2498200
219,54,15,Master,Coimbatore,764,58,8,No,4.43,2019800
220,50,19,Bachelor,Coimbatore,2544,53,0,No,2.76,1931200
221,21,0,High School,Delhi,542,47,0,Yes,4.96,555400
222,51,21,Master,Kochi,3087,58,6,No,4.61,2443000
223,45,11,Bachelor,Hyderabad,2868,33,2,No,3.59,1454800
224,35,10,PhD,Coimbatore,4480,43,8,No,4.47,1759800
225,36,7,Diploma,Bangalore,283,55,10,No,3.84,1232300
226,22,0,Bachelor,Coimbatore,4917,51,0,Yes,4.22,828200
227,46,11,Master,Chennai,1167,46,4,Yes,4.45,1628200
228,57,19,Bachelor,Delhi,1960,39,2,Yes,3.24,1935000
229,38,16,Master,Hyderabad,3519,47,7,Yes,4.92,2139100
230,45,14,Bachelor,Hyderabad,2476,42,2,No,2.72,1506500
231,35,6,Master,Chennai,4627,43,6,Yes,3.17,1346300
232,37,10,Master,Delhi,777,47,3,Yes,2.81,1432100
233,59,17,Diploma,Pune,3947,36,5,No,4.87,1846100
234,21,0,Master,Coimbatore,2007,52,9,Yes,3.19,951600
235,36,4,Bachelor,Delhi,2546,38,5,No,3.4,970400
236,51,18,Diploma,Delhi,3410,31,9,Yes,4.22,1888500
237,22,0,Bachelor,Kochi,2438,34,3,No,2.69,734100
238,57,23,Bachelor,Delhi,2128,54,7,No,3.38,2277600
239,43,15,Bachelor,Chennai,4312,31,1,Yes,4.29,1777500
240,47,18,High School,Hyderabad,94,36,8,No,3.12,1759700
241,60,18,Master,Coimbatore,148,30,8,No,2.04,1719300
242,54,19,Bachelor,Kochi,1488,33,1,Yes,2.72,1706700
243,60,17,Bachelor,Kochi,667,41,6,No,3.7,1824900
244,35,6,High School,Chennai,785,42,6,No,3.66,1100700
245,24,0,High School,Kochi,2733,48,1,Yes,2.69,452800
246,57,20,High School,Mumbai,4468,48,10,Yes,2.54,1999100
247,41,14,Diploma,Kochi,650,39,2,Yes,3.7,1456600
248,45,12,Bachelor,Hyderabad,662,46,5,Yes,2.29,1316500
249,35,9,Master,Kochi,2693,30,10,No,4.35,1527500
